% x, y, z, R, phi, psi, real(u_asym), imag(u_asym), real(v_asym), imag(v_asym), real(w_asym), imag(w_asym)
  0.207211E+001  0.000000E+000 -0.238453E+001  0.315905E+001  0.000000E+000  0.242618E+001  0.934254E-004  0.933349E-003  0.000000E+000  0.000000E+000  0.468627E-003  0.109256E-002
  0.203478E+001  0.000000E+000 -0.241646E+001  0.315905E+001  0.000000E+000  0.244173E+001  0.810114E-004  0.973360E-003  0.000000E+000  0.000000E+000  0.454902E-003  0.110056E-002
  0.199695E+001  0.000000E+000 -0.244781E+001  0.315905E+001  0.000000E+000  0.245729E+001  0.596532E-004  0.101519E-002  0.000000E+000  0.000000E+000  0.434651E-003  0.110864E-002
  0.195864E+001  0.000000E+000 -0.247857E+001  0.315905E+001  0.000000E+000  0.247284E+001  0.266880E-004  0.105776E-002  0.000000E+000  0.000000E+000  0.406425E-003  0.111584E-002
  0.191986E+001  0.000000E+000 -0.250874E+001  0.315905E+001  0.000000E+000  0.248839E+001 -0.211782E-004  0.109887E-002  0.000000E+000  0.000000E+000  0.368525E-003  0.112045E-002
  0.188061E+001  0.000000E+000 -0.253829E+001  0.315905E+001  0.000000E+000  0.250394E+001 -0.877334E-004  0.113445E-002  0.000000E+000  0.000000E+000  0.319172E-003  0.111963E-002
  0.184091E+001  0.000000E+000 -0.256723E+001  0.315905E+001  0.000000E+000  0.251950E+001 -0.176649E-003  0.115751E-002  0.000000E+000  0.000000E+000  0.256986E-003  0.110877E-002
  0.180076E+001  0.000000E+000 -0.259555E+001  0.315905E+001  0.000000E+000  0.253505E+001 -0.289860E-003  0.115677E-002  0.000000E+000  0.000000E+000  0.182079E-003  0.108095E-002
  0.176018E+001  0.000000E+000 -0.262324E+001  0.315905E+001  0.000000E+000  0.255060E+001 -0.424185E-003  0.111587E-002  0.000000E+000  0.000000E+000  0.981140E-004  0.102682E-002
  0.171917E+001  0.000000E+000 -0.265030E+001  0.315905E+001  0.000000E+000  0.256615E+001 -0.565834E-003  0.101496E-002  0.000000E+000  0.000000E+000  0.152933E-004  0.936156E-003
  0.167774E+001  0.000000E+000 -0.267671E+001  0.315905E+001  0.000000E+000  0.258170E+001 -0.684597E-003  0.837355E-003  0.000000E+000  0.000000E+000 -0.471409E-004  0.802359E-003
  0.163591E+001  0.000000E+000 -0.270248E+001  0.315905E+001  0.000000E+000  0.259726E+001 -0.732723E-003  0.581257E-003  0.000000E+000  0.000000E+000 -0.619288E-004  0.629118E-003
  0.159369E+001  0.000000E+000 -0.272759E+001  0.315905E+001  0.000000E+000  0.261281E+001 -0.646527E-003  0.265289E-003  0.000000E+000  0.000000E+000  0.354613E-005  0.432035E-003
  0.155108E+001  0.000000E+000 -0.275205E+001  0.315905E+001  0.000000E+000  0.262836E+001 -0.113158E-003  0.458523E-004  0.000000E+000  0.000000E+000  0.317235E-003  0.302664E-003
  0.150809E+001  0.000000E+000 -0.277584E+001  0.315905E+001  0.000000E+000  0.264391E+001 -0.332459E-004  0.300978E-003  0.000000E+000  0.000000E+000  0.362685E-003  0.440148E-003
  0.146474E+001  0.000000E+000 -0.279896E+001  0.315905E+001  0.000000E+000  0.265947E+001 -0.674389E-005  0.379629E-003  0.000000E+000  0.000000E+000  0.376976E-003  0.475119E-003
  0.142103E+001  0.000000E+000 -0.282140E+001  0.315905E+001  0.000000E+000  0.267502E+001  0.834993E-005  0.420306E-003  0.000000E+000  0.000000E+000  0.384490E-003  0.487985E-003
  0.137698E+001  0.000000E+000 -0.284316E+001  0.315905E+001  0.000000E+000  0.269057E+001  0.182162E-004  0.443396E-003  0.000000E+000  0.000000E+000  0.388906E-003  0.490890E-003
  0.133260E+001  0.000000E+000 -0.286423E+001  0.315905E+001  0.000000E+000  0.270612E+001  0.250867E-004  0.456265E-003  0.000000E+000  0.000000E+000  0.391572E-003  0.488294E-003
  0.128789E+001  0.000000E+000 -0.288460E+001  0.315905E+001  0.000000E+000  0.272168E+001  0.300176E-004  0.462403E-003  0.000000E+000  0.000000E+000  0.393137E-003  0.482343E-003
  0.124288E+001  0.000000E+000 -0.290428E+001  0.315905E+001  0.000000E+000  0.273723E+001  0.335886E-004  0.463728E-003  0.000000E+000  0.000000E+000  0.393959E-003  0.474235E-003
  0.119756E+001  0.000000E+000 -0.292326E+001  0.315905E+001  0.000000E+000  0.275278E+001  0.361502E-004  0.461405E-003  0.000000E+000  0.000000E+000  0.394259E-003  0.464708E-003
  0.115195E+001  0.000000E+000 -0.294153E+001  0.315905E+001  0.000000E+000  0.276833E+001  0.379298E-004  0.456191E-003  0.000000E+000  0.000000E+000  0.394181E-003  0.454249E-003
  0.110607E+001  0.000000E+000 -0.295909E+001  0.315905E+001  0.000000E+000  0.278389E+001  0.390829E-004  0.448609E-003  0.000000E+000  0.000000E+000  0.393826E-003  0.443201E-003
  0.105991E+001  0.000000E+000 -0.297594E+001  0.315905E+001  0.000000E+000  0.279944E+001  0.397207E-004  0.439034E-003  0.000000E+000  0.000000E+000  0.393266E-003  0.431813E-003
  0.101351E+001  0.000000E+000 -0.299206E+001  0.315905E+001  0.000000E+000  0.281499E+001  0.399253E-004  0.427748E-003  0.000000E+000  0.000000E+000  0.392554E-003  0.420273E-003
